DOI,Title
10.22456/2175-2745.40202,Assessing the Semiotic Inspection Method – The Evaluators’ Perspective
10.22456/2175-2745.40994,Expressiveness of Automatic Semantic Web Service Composition Approaches: A Survey based on Workﬂow Patterns
10.22456/2175-2745.41936,Introdução aos Sistemas de Recomendação para Grupos
10.22456/2175-2745.43300,Seleção de Casos de Teste para Agentes Racionais
10.22456/2175-2745.43468,XIRU: Interface de Rede Extensível para Integração de Núcleos a uma Rede-em-Chip
10.22456/2175-2745.43510,Segurança em Redes-em-Chip:  Conceitos e Revisão do Estado da Arte
10.22456/2175-2745.44199,O Teste de Mutação apoiado pelo Algoritmo Genético Coevolucionário com Classificação Genética Controlada
10.22456/2175-2745.46848,Local Binary Patterns Applied to Breast Cancer Classification in Mammographies
10.22456/2175-2745.47524,Comparativo entre o algoritmo de Luhn e o algoritmo GistSumm para sumarização de documentos
10.22456/2175-2745.47589,Do multiple sclerosis lesions affect the outcome of magnetic resonance image registration?
10.22456/2175-2745.48184,Tutorial Sobre o Uso de Técnicas para Controle de Parâmetros em Algoritmos de Inteligência de Enxame e Computação Evolutiva
10.22456/2175-2745.48395,Reconhecimento de Padrões em Tecnologia Portável – Um Estudo de Caso
10.22456/2175-2745.49045,Predição do tráfego de rede de computadores usando redes neurais tradicionais e de aprendizagem profunda
10.22456/2175-2745.49242,Predição de função de proteínas através da extração de características físico-químicas
10.22456/2175-2745.49491,SciPy and OpenCV as an interactive computing environment for computer vision
10.22456/2175-2745.49492,Visual Computing and Machine Learning Techniques for Digital Forensics
10.22456/2175-2745.49694,Programação matemática e imersões métricas para aproximações em problemas de corte
10.22456/2175-2745.50383,Proof Tactics for Theorem Proving  Graph  Grammars through Rodin
10.22456/2175-2745.51121,QJava: A Monadic Java Library for Quantum Programming
10.22456/2175-2745.51452,Deconvolução Cega Aplicada à Correção de Artefatos de Movimento em Imagens de Vídeo de Microscopia Intravital para Detecção Automática de Leucócitos
10.22456/2175-2745.51756,Software para Auxílio no Processo de Elaboração do Cariótipo
10.22456/2175-2745.52511,Coverage Criteria for Set-Based Specifications
10.22456/2175-2745.52609,Identificação de Viabilidade de Leveduras Com Corante Vital Utilizando Histogramas de Palavras Visuais em Imagens Coloridas
10.22456/2175-2745.52963,Huginn for Jason: Uma arquitetura para agentes normativos
10.22456/2175-2745.53120,Abordagem Proativa para a Gestão Integrada dos Trabalhos de Projeto
10.22456/2175-2745.53236,Estudo Comparativo entre as Redes Neurais Artificiais MLP e RBF para Previsão de Cheias em Curto Prazo
10.22456/2175-2745.53751,Recuperação de modelos médicos por conteúdo usando Extrator Local de Área e Distância
10.22456/2175-2745.54043,Linguagens de consulta para bases de dados em grafos: um mapeamento sistemático
10.22456/2175-2745.54370,Classificador de imagens de pulmão utilizando wavelets de Haar e distância de Mahalanobis
10.22456/2175-2745.54772,Evolução Diferencial com ensemble de Operadores de Mutação em GPGPUs para o Despacho Econômico de Energia Elétrica
10.22456/2175-2745.55723,O Potencial do Uso de Estimativas de Desempenho na Exploração de Conjuntos de Otimizações
10.22456/2175-2745.56162,Detecção de Tubos em Imagens Radiográficas Digitais
10.22456/2175-2745.56177,Automating mobile application development: UML-based code generation for Android and Windows Phone
10.22456/2175-2745.56368,Método Sistêmico com Suporte em GORE para Análise de Conformidade de Requisitos não Funcionais Implementados em Software
10.22456/2175-2745.56371,Desenvolvimento de Aplicações Gráficas Interativas com a Unreal Engine 4
10.22456/2175-2745.56374,Uma Revisão Sobre as Publicações de Sistemas de Detecção de Intrusão
10.22456/2175-2745.56384,Programming in CUDA for Kepler and Maxwell Architecture
10.22456/2175-2745.56437,"Hyperspectral Modeling of Material Appearance: General Framework, Challenges and Prospects"
10.22456/2175-2745.56498,Análise Visual utilizando Projeções Multidimensionais
10.22456/2175-2745.5683,TVX - Time and Versions in XML
10.22456/2175-2745.5685,Uma Proposta de Framework para Desenvolvimento de Aplicações Paralelas com Mobilidade
10.22456/2175-2745.5690,Uma Introdução às Support Vector Machines
10.22456/2175-2745.5691,Técnicas probabilísticas para análise de yield em nível elétrico usando propagação de erros e derivadas numéricas
10.22456/2175-2745.5692,Aplicação de Redes Neurais Artificiais na Classificação de Padrões Posturais em Crianças Respiradoras Bucais e Nasais
10.22456/2175-2745.5693,Performance Evaluation of CORBA Concurrency Control Service Using Stochastic Petri Nets
10.22456/2175-2745.5694,Processos de Decisão de Markov: um tutorial
10.22456/2175-2745.5695,Aspectos sociotécnicos da computação: contextualizando o desenvolvimento de sistemas de computação com o modelo Mikropolis
10.22456/2175-2745.5696,Um Olhar Sociotécnico sobre a Engenharia de Software
10.22456/2175-2745.56977,O uso de Métodos Ágeis no ensino de Métodos Ágeis
10.22456/2175-2745.5746,Computer Vision and Graphics for Heritage Preservation and Digital Archaeology
10.22456/2175-2745.5759,Editorial
10.22456/2175-2745.58022,Mineração em Grandes Massas de Dados Utilizando Hadoop MapReduce e Algoritmos Bio-inspirados: Uma Revisão Sistemática
10.22456/2175-2745.58551,Relação Entre o Gênero de Espectadores e o Conteúdo de Vídeos
10.22456/2175-2745.59104,Exploring the subtopic-based relationship map strategy for multi-document summarization
10.22456/2175-2745.59336,ZipfTool: Uma ferramenta bibliométrica para auxílio na pesquisa teórica
10.22456/2175-2745.5956,Revisores da RITA no JEMS
10.22456/2175-2745.5961,An Introduction to Light Interaction with Human Skin
10.22456/2175-2745.59614,Paralelismo em Prolog: Conceitos e Sistemas
10.22456/2175-2745.5962,A Gentle Introduction to Predictive Filters
10.22456/2175-2745.5963,Java Advanced Imaging API: A Tutorial
10.22456/2175-2745.5964,Shader Programming: An Introduction Using the Effect Framework
10.22456/2175-2745.5978,A Revista de Informática Teórica e Aplicada e as Tecnologias de Informação
10.22456/2175-2745.5979,Uso de Aspectos para Verificar Regras de Instanciação de Frameworks
10.22456/2175-2745.5980,AspectH: Uma Extensão Orientada a Aspectos de Haskel
10.22456/2175-2745.5981,Making Medical Visual Information Available on the WEB
10.22456/2175-2745.5982,Um Framework de Apoio à Colaboração no Projeto Distribuído de Sistemas Integrados
10.22456/2175-2745.5983,Teorias da Aleatoriedade
10.22456/2175-2745.6011,3D Compression: from A to Zip a first complete example
10.22456/2175-2745.6012,Introdução ao XNA
10.22456/2175-2745.6014,Steganography and Steganalysis in Digital Multimedia: Hype or Hallelujah?
10.22456/2175-2745.6015,Navigation and Interaction in Graph Visualizations
10.22456/2175-2745.6016,"Dimensionality Reduction, Classification and Reconstruction Problems in Statistical Learning Approaches"
10.22456/2175-2745.60234,Uma contribuição ao auxíılio do diagnóstico do autismo a partir do processamento de imagens para extração de medidas antropométricas
10.22456/2175-2745.6024,Editorial
10.22456/2175-2745.6025,Editorial convidado
10.22456/2175-2745.60989,Avaliação de Incisão Cirúrgica em Simuladores com Realidade Virtual
10.22456/2175-2745.61220,Método Computacional para o Diagnóstico Precoce da Granulomatose de Wegener
10.22456/2175-2745.62211,Learning to Identify At-Risk Students in Distance Education Using Interaction Counts
10.22456/2175-2745.62657,Autômatos celulares unidimensionais caóticos com borda fixa aplicados à modelagem de um sistema criptográfico para imagens digitais
10.22456/2175-2745.63581,Detecção de leucócitos em imagens de vídeo de microscopia intravital usando a técnica de congruência de fase
10.22456/2175-2745.64206,Emprego de Banco de Filtros e do Teorema de Imersão de Takens em Padrões Espaciais para a Classificação de Imagética Motora em Interfaces Cérebro-Computador
10.22456/2175-2745.64413,Comparando o Desempenho de Implementações de Tabelas Hash Concorrentes em Haskell
10.22456/2175-2745.64431,Computação na Educação Básica no Brasil: o Estado da Arte
10.22456/2175-2745.65061,Escola Gaúcha de Bioinformática 2015
10.22456/2175-2745.65372,QEDS: Um Simulador Clássico para Distinção de Elementos Quântico
10.22456/2175-2745.65538,Autômatos Celulares e Sistema Multiagente para Simulação da Propagação de Doenças
10.22456/2175-2745.65827,Comparação entre abordagens escaláveis para o processamento de conjuntos de dados textuais
10.22456/2175-2745.6586,Avaliação Pró-ativa da Deterioração de Sistemas de Informação por meio de Medidas de Gestão
10.22456/2175-2745.67253,Desenvolvimento de Interface de Usuário para a Melhoria da Consciência Situacional em Gerenciamento de Emergências
10.22456/2175-2745.6865,Editorial
10.22456/2175-2745.6867,Guest Editors
10.22456/2175-2745.69309,"Uma Revisão Sistemática sobre Abordagens em Organizações Virtuais no Contexto de Confiança, Reputação e Computação em Nuvem"
10.22456/2175-2745.69479,Uma Arquitetura de Software para Bibliotecas de Realidade Aumentada Baseada em Marcadores Naturais
10.22456/2175-2745.6998,FORUM: Modelo e Linguagem para Especificação  de Regras em Ambientes Colaborativos
10.22456/2175-2745.6999,Estabilidade de Classificadores de Decisão em Árvore Binária para Dados Imagem em Alta Dimensão
10.22456/2175-2745.7015,On the Development and Evaluation of a Brazilian Portuguese Discourse Parser
10.22456/2175-2745.7016,Estratégias para a Combinação de Classificadores Binários em Soluções Multiclasses
10.22456/2175-2745.7023,Representação e Classificação de Texturas da Íris Baseada na Transformada Ótima de Gabor
10.22456/2175-2745.7024,A Novel Method for Generating Scale Space Kernels Based on Wavelet Theory
10.22456/2175-2745.7029,Proposta de Utilização do Diagrama de Seqüência para Definição de Casos de Teste de Unidade
10.22456/2175-2745.7031,Reestruturação de Software Dirigida por Conectividade para Redução de Custo de Manutenção
10.22456/2175-2745.7032,Uma Proposta de Modelagem para a Generalização de Elos de Rastreabilidade
10.22456/2175-2745.7033,Inspeção Automática de Defeitos em Madeiras de Pinus usando Visão Computacional
10.22456/2175-2745.71429,Non-Cooperative Facility Location Games: a Survey
10.22456/2175-2745.71439,Identificação de amostras de sementes utilizando VisãoComputacional
10.22456/2175-2745.7146,Revisores
10.22456/2175-2745.7147,Modelagem de Tráfego de Redes Utilizando Cascata Multifractal Generalizada
10.22456/2175-2745.7148,Editorial
10.22456/2175-2745.71775,Análise de desempenho de Banco de Dados Relacionais e Não Relacionais em dados genômicos
10.22456/2175-2745.73173,Estudo e Modelagem dos Efeitos da Forma e do Crescimento em Processos de Formação de Padrões de Pelagem via Reação-Difusão
10.22456/2175-2745.7386,Posicionamento de Circuitos 3D Considerando o  Planejamento de 3D-Vias
10.22456/2175-2745.74030,Sleep Stages Classification Using Spectral Based Statistical Moments as Features
10.22456/2175-2745.74992,Análise Autônoma de Investimento: Uma Abordagem Multiagente Discreta
10.22456/2175-2745.75048,"Combining Artificial Intelligence, Ontology, and Frequency-based Approaches to Recommend Activities in Scientific Workflows"
10.22456/2175-2745.75063,Energy Systems in Material Agent Societies
10.22456/2175-2745.7522,Gerenciando Alterações em Documentos XML
10.22456/2175-2745.75255,Estratégias de Construções de Comitês de Classificadores Multirrótulos no Aprendizado Semissupervisionado Multidescrição
10.22456/2175-2745.75300,Simulação Multiagente da Evacuação da Boate Kiss: A Importância da NBR 9.077 e sua relação com o Pânico
10.22456/2175-2745.75327,Composição de Agentes EBDI: Integração WASABI-Jason
10.22456/2175-2745.76189,Derivation of Mean Value Coordinates Using Interior Distance and Their Application on Mesh Deformation
10.22456/2175-2745.76387,Diagnóstico de Glaucoma Utilizando Atributos de Textura e CNN’s Pré-treinadas
10.22456/2175-2745.76452,A Multi-objective Version of the Lin-Kernighan Heuristic for the Traveling Salesman Problem
10.22456/2175-2745.76460,MeHarCEn: Um Método de Harmonização do Consumo de Energia em Data Centers
10.22456/2175-2745.77654,Avaliação do Intel Software Guard Extensions via Emulação
10.22456/2175-2745.7796,Avaliação Pró-ativa da Deterioração de Sistemas de Informação por meio de Medidas de Gestão
10.22456/2175-2745.77994,Virtual Reality as a Support Tool for the Treatment of People with Intellectual and Multiple Disabilities: A Systematic Literature Review
10.22456/2175-2745.78391,IndoLoR -- Uma Plataforma Adaptável para Localização em Ambientes Internos
10.22456/2175-2745.7857,Teoria espaço-escala: conceitos e abordagens
10.22456/2175-2745.79152,CoWPar: A D2D Communication Approach Without Pairing for Mobile Social Network in Proximity
10.22456/2175-2745.79158,Modelos para avaliação de disponibilidade orientada a capacidade de uma nuvem privada
10.22456/2175-2745.79310,Video Conferencing Evaluation Considering Scalable Video Coding and SDN Network
10.22456/2175-2745.79333,A Genetic Programming Model for Association Studies to Detect Epistasis in Low Heritability Data
10.22456/2175-2745.79334,Relative Scalability of NoSQL Databases for Genotype Data Manipulation
10.22456/2175-2745.79885,Can the Use of nonlinear Color Metrics systematically improve Segmentation?
10.22456/2175-2745.79994,Algoritmos de Escalonamento Gangue com Estratégias de Migracão em um Ambiente MCMCA
10.22456/2175-2745.8046,Desenvolvimento de uma rede neuro-fuzzy para predição da temperatura retal de frangos de corte
10.22456/2175-2745.80478,Investigation of Archiving Techniques for Evolutionary Multi-objective Optimizers
10.22456/2175-2745.80525,Algorithms for the power-p Steiner tree problem in the Euclidean plane
10.22456/2175-2745.80557,Um modelo computacional para a simulação de sistemas de transporte urbano
10.22456/2175-2745.80598,Use of cytomorphometry for classification of subcellular patterns in 3D images
10.22456/2175-2745.80702,Extreme Learning Machine combined with a Differential Evolution algorithm for lithology identification
10.22456/2175-2745.80721,Exact Algorithms for the Graph Coloring Problem
10.22456/2175-2745.80912,Formal Semantics for Java-like Languages and Research Opportunities
10.22456/2175-2745.8168,Introdução à Programação de Propósito Geral em Hardware Gráfico
10.22456/2175-2745.82043,Performance Analysis of the Segment Transfer Rate of TCP-UEM
10.22456/2175-2745.82079,Vulnerability Identification on GNU/Linux Operating Systems through Case-Based Reasoning
10.22456/2175-2745.82395,Haskell Type System Analysis
10.22456/2175-2745.82412,Evolutionary Models applied to Multiprocessor TaskScheduling: Serial and Multipopulation Genetic Algorithm
10.22456/2175-2745.8260,A Journey through Virtual and Augmented Reality - Reviewing the SVR Symposia from 2004 to 2008
10.22456/2175-2745.8261,The Design of a Graphics Engine for the Development of Virtual Reality Applications
10.22456/2175-2745.8263,Designing and implementing an Spatial Augmented Reality X-Ray
10.22456/2175-2745.8265,A Conceptual Image-Based Data Glove for Computer-Human Interaction
10.22456/2175-2745.8266,A Software Framework to Create 3D Browser-Based Speech Enabled Applications
10.22456/2175-2745.82772,V: a language with extensible record accessors and a trait-based type system
10.22456/2175-2745.83498,"Stochastic Models for Optimizing Availability, Cost and Sustainability of Data Center Power Architectures through Genetic Algorithm"
10.22456/2175-2745.83581,Use of text mining techniques for unsupervised organization of digital procedural acts
10.22456/2175-2745.84330,An Analysis of a Real Mobility Trace Based on Standard Mobility Metrics
10.22456/2175-2745.8441,SWEETS: um Sistema de Recomendação de Especialistas aplicado a uma plataforma de Gestão de Conhecimento
10.22456/2175-2745.84814,A gene based bacterial whole genome comparison toolkit
10.22456/2175-2745.85091,Analysis of the Performance of Genetic Algorithm Parallelized with OpenMP Through Execution Traces
10.22456/2175-2745.8522,Uma Revisão Sobre Combinação de Agrupamentos
10.22456/2175-2745.8611,Combinando Modelos de Interação para Melhorar a Coordenação em Sistemas Multiagente
10.22456/2175-2745.86196,A Taxonomy of container security on computational clouds: concerns and solutions
10.22456/2175-2745.86380,OLSR Fuzzy Cost (OLSR-FC): an extension to OLSR protocol based on fuzzy logic and applied to avoid selfish nodes
10.22456/2175-2745.86439,A Model for the Diffusive Filling-In Algorithm Operating in Spike Mode
10.22456/2175-2745.86478,Virtual Reality-based Training for the Motor Developmentof People With Intellectual and Multiple Disabilities
10.22456/2175-2745.86534,Elementary Economic Systems in Material Agent Societies
10.22456/2175-2745.87085,Data Fusion through Fuzzy-Bayesian Networks for Belief Generation in Cognitive Agents
10.22456/2175-2745.87511,A Strategy for Performance Evaluation and Modeling of Cloud Computing Services
10.22456/2175-2745.88822,Evaluating the impact of maintenance policies associated to SLA contracts on the dependability of data centers electrical infrastructures
10.22456/2175-2745.88911,Hybrid Neural Networks Applied to Brazilian Stock Market
10.22456/2175-2745.89063,"Biclustering and coclustering: concepts, algorithms and viability for text mining"
10.22456/2175-2745.89115,PHOC Descriptor Applied for Mammography Classification
10.22456/2175-2745.9009,Uma abordagem estrutural para calcular similaridade entre conceitos de ontologias
10.22456/2175-2745.90724,BeeNotified! A Notification System of Physical Quantities for Beehives Remote Monitoring
10.22456/2175-2745.90822,An Online Tree-Based Approach for Mining Non-Stationary High-Speed Data Streams
10.22456/2175-2745.91414,Group Labeling Methodology Using Distance-based Data Grouping Algorithms
10.22456/2175-2745.91522,Road Surface Classification with Images Captured From Low-cost Camera - Road Traversing Knowledge (RTK) Dataset
10.22456/2175-2745.91814,Models to evaluate service Provisioning over Cloud Computing Environments - A Blockchain-As-A-Service case study
10.22456/2175-2745.92117,SafeFollowing: A collaborative model for public security agents to assist people with disabilities and the elderly
10.22456/2175-2745.92406,A Computational Strategy for Classification of Enem Issues Based on Item Response Theory
10.22456/2175-2745.92486,HICOLM: High-Performance Platform of Physical Simulations by Using Low Computational Cost Methods
10.22456/2175-2745.93733,"Traveling Salesman Problem with Optional Bonus Collection, Pickup Time and Passengers"
10.22456/2175-2745.94016,Performability Evaluation of Voice Services in Converged Networks
10.22456/2175-2745.94082,Prize Collecting Traveling Salesman Problem with Ridesharing
10.22456/2175-2745.94235,WebGIS development for base flow separation and recharge estimation
10.22456/2175-2745.94319,Water Resources Analysis: An Approach based on Agent-Based Modeling
10.22456/2175-2745.94845,Effects of reward distribution strategies and perseverance profiles on agent-based coalitions dynamics
10.22456/2175-2745.95095,Mosaik and PADE: Multiagents and Co-simulation for smart grids modeling
10.22456/2175-2745.96081,Unsupervised Feature Selection Methodology for Clustering in High Dimensionality Datasets
10.22456/2175-2745.96181,Studying the Performance of Cognitive Models in Time Series Forecasting
10.22456/2175-2745.9644,Aplicação de redes neurais ART e análise de textura para a classificação do estado de alteração de agregados minerais
10.22456/2175-2745.97411,Arisa Nest – A Cloud-Based Platform for Development of Virtual Assistant
10.22456/2175-2745.97479,Reactive multi-agent system applied to self-healing in Smart Grids
10.22456/2175-2745.97835,Comparison of Classical Computer Vision vs. Convolutional Neural Networks for Weed Mapping in Aerial Images
10.22456/2175-2745.98203,Scrumie: Scrum Teaching Agent Oriented Game
10.22456/2175-2745.98362,Int-FLBCC: Model for Load Balancing in Cloud Computing using Fuzzy Logic Type-2 and Admissible Orders.
10.22456/2175-2745.98367,"Similar Yet Different: the Structure of Social Networks of Characters in Seinfeld, Friends, How I met Your Mother, and The Big Bang Theory"
10.22456/2175-2745.98369,DenseNet-DC: Optimizing DenseNet Parameters Through Feature Map Generation Control
10.22456/2175-2745.98483,Reasoning about Partial Correctness Assertions in Isabelle/HOL
10.22456/2175-2745.98904,Experiments on Model-Based Software Energy Consumption Analysis Involving Sorting Algorithms
10.22456/2175-2745.99849,Automatic identification of knowledge related to dengue cases in the state of Piauí in public databases using Filtered-Association Rules Networks
